seq,status,runsecs,category1,category2,name,filename,wikipedia
1,PASS,12.510,backtracking,,All Combinations of Size K,all_combination_of_size_k.rs,
2,PASS,0.085,backtracking,,Graph Coloring,graph_coloring.rs,
3,PASS,0.075,backtracking,,Hamiltonian Cycle,hamiltonian_cycle.rs,
4,PASS,3.023,backtracking,,Knight Tour,knight_tour.rs,
5,PASS,0.076,backtracking,,N-Queens,n_queens.rs,
6,PASS,0.075,backtracking,,Parentheses Generator,parentheses_generator.rs,
7,PASS,0.077,backtracking,,Permutations,permutations.rs,
8,PASS,0.076,backtracking,,Rat in Maze,rat_in_maze.rs,
9,PASS,0.078,backtracking,dynamic_programming,Subset Sum,subset_sum.rs,
10,PASS,0.078,backtracking,,Sudoku,sudoku.rs,
11,PASS,0.104,big_integer,,Fast Factorial,fast_factorial.rs,
12,PASS,0.075,big_integer,,Multiply,multiply.rs,
13,PASS,0.076,big_integer,,Poly1305,poly1305.rs,
14,PASS,0.074,bit_manipulation,,Binary Coded Decimal,binary_coded_decimal.rs,
15,PASS,0.076,bit_manipulation,,Binary Shifts,binary_shifts.rs,
16,PASS,0.074,bit_manipulation,,Counting Bits,counting_bits.rs,
17,PASS,0.075,bit_manipulation,,Hamming Distance,hamming_distance.rs,
18,PASS,0.073,bit_manipulation,,Highest Set Bit,highest_set_bit.rs,
19,PASS,0.075,bit_manipulation,,Is Power of Two,is_power_of_two.rs,
20,PASS,0.073,bit_manipulation,,Missing Number,find_missing_number.rs,
21,PASS,0.072,bit_manipulation,,N Bits Gray Code,n_bits_gray_code.rs,
22,PASS,0.074,bit_manipulation,,Previous Power of Two,find_previous_power_of_two.rs,
23,PASS,0.070,bit_manipulation,,Reverse Bits,reverse_bits.rs,
24,PASS,0.069,bit_manipulation,,Rightmost Set Bit,rightmost_set_bit.rs,
25,PASS,0.070,bit_manipulation,,Sum of Two Integers,sum_of_two_integers.rs,
26,PASS,0.069,bit_manipulation,,Swap Odd and Even Bits,swap_odd_even_bits.rs,
27,PASS,0.074,bit_manipulation,,Trailing Zeros,binary_count_trailing_zeros.rs,
28,PASS,0.074,bit_manipulation,,Two's Complement,twos_complement.rs,
29,PASS,0.073,bit_manipulation,,Unique Number,find_unique_number.rs,
30,PASS,0.072,ciphers,,AES,aes.rs,
31,PASS,0.072,ciphers,,Affine Cipher,affine_cipher.rs,
32,PASS,0.073,ciphers,,Another ROT13,another_rot13.rs,
33,PASS,0.071,ciphers,,Baconian Cipher,baconian_cipher.rs,
34,PASS,0.073,ciphers,,Base16,base16.rs,
35,PASS,0.073,ciphers,,Base32,base32.rs,
36,PASS,0.077,ciphers,,Base64,base64.rs,
37,PASS,0.071,ciphers,,Base85,base85.rs,
38,PASS,0.072,ciphers,,Caesar,caesar.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Ciphers/caesar_cipher.md
39,PASS,0.075,ciphers,,Chacha,chacha.rs,
40,PASS,2.205,ciphers,,Diffie-Hellman,diffie_hellman.rs,
41,PASS,0.073,ciphers,,Hill Cipher,hill_cipher.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Ciphers/hill_cipher.md
42,PASS,0.073,ciphers,,Kernighan,kernighan.rs,
43,PASS,0.080,ciphers,,Morse Code,morse_code.rs,
44,PASS,0.073,ciphers,,Polybius,polybius.rs,
45,PASS,0.072,ciphers,,Rail Fence,rail_fence.rs,
46,PASS,0.072,ciphers,,ROT13,rot13.rs,
47,PASS,0.074,ciphers,,RSA Cipher,rsa_cipher.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Ciphers/rsa_cipher.md
48,PASS,0.073,ciphers,,Salsa,salsa.rs,
49,PASS,0.074,ciphers,,Tea,tea.rs,
50,PASS,0.073,ciphers,,Theoretical ROT13,theoretical_rot13.rs,
51,PASS,0.074,ciphers,,Transposition,transposition.rs,
52,PASS,0.073,ciphers,,Trifid,trifid.rs,
53,PASS,0.073,ciphers,,Vernam,vernam.rs,
54,PASS,0.074,ciphers,,Vigenere,vigenere.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Ciphers/vigenere_cipher.md
55,PASS,0.074,ciphers,,XOR,xor.rs,
56,PASS,0.070,ciphers,,Gronsfeld Cipher,gronsfeld.rs,
57,PASS,0.071,compression,string,Burrows-Wheeler Transform,burrows_wheeler_transform.rs,
58,PASS,0.069,compression,general,Huffman Encoding,huffman_encoding.rs,
59,PASS,0.069,compression,,LZ77,lz77.rs,
60,PASS,0.077,compression,,Move to Front,move_to_front.rs,
61,PASS,0.078,compression,,Peak Signal-to-Noise Ratio,peak_signal_to_noise_ratio.rs,
62,PASS,0.073,compression,,Run Length Encoding,run_length_encoding.rs,
63,PASS,0.074,conversions,,Binary to Decimal,binary_to_decimal.rs,
64,PASS,0.071,conversions,,Binary to Hexadecimal,binary_to_hexadecimal.rs,
65,PASS,0.068,conversions,,Binary to Octal,binary_to_octal.rs,
66,PASS,0.069,conversions,,Decimal to Binary,decimal_to_binary.rs,
67,PASS,0.074,conversions,,Decimal to Hexadecimal,decimal_to_hexadecimal.rs,
68,PASS,0.073,conversions,,Decimal to Octal,decimal_to_octal.rs,
69,PASS,0.072,conversions,,Energy,energy.rs,
70,PASS,0.076,conversions,,Hexadecimal to Binary,hexadecimal_to_binary.rs,
71,PASS,0.090,conversions,,Hexadecimal to Decimal,hexadecimal_to_decimal.rs,
72,PASS,0.078,conversions,,Hexadecimal to Octal,hexadecimal_to_octal.rs,
73,PASS,0.074,conversions,,IPv4 Conversion,ipv4_conversion.rs,
74,PASS,0.073,conversions,,Length Conversion,length_conversion.rs,
75,PASS,0.076,conversions,,Octal to Binary,octal_to_binary.rs,
76,PASS,0.071,conversions,,Octal to Decimal,octal_to_decimal.rs,
77,PASS,0.068,conversions,,Octal to Hexadecimal,octal_to_hexadecimal.rs,
78,PASS,0.074,conversions,,Order of Magnitude Conversion,order_of_magnitude_conversion.rs,
79,PASS,0.076,conversions,,Pressure,pressure.rs,
80,PASS,0.074,conversions,,Rectangular to Polar,rectangular_to_polar.rs,
81,PASS,0.073,conversions,,RGB-CMYK Conversion,rgb_cmyk_conversion.rs,
82,PASS,0.074,conversions,,RGB-HSV Conversion,rgb_hsv_conversion.rs,
83,PASS,0.082,conversions,,Roman Numerals,roman_numerals.rs,
84,PASS,0.076,conversions,,Speed,speed.rs,
85,PASS,0.075,conversions,,Time,time.rs,
86,PASS,0.078,conversions,,Temperature,temperature.rs,
87,PASS,0.075,conversions,,Volume,volume.rs,
88,PASS,0.074,conversions,,Weight,weight.rs,
89,PASS,0.072,data_structures,,AVL Tree,avl_tree.rs,
90,PASS,0.071,data_structures,,B-Tree,b_tree.rs,
91,PASS,0.073,data_structures,,Binary Search Tree,binary_search_tree.rs,
92,PASS,0.070,data_structures,,Fenwick Tree,fenwick_tree.rs,
93,SKIP,0.067,data_structures,,Floyds Algorithm,floyds_algorithm.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Search%20Algorithms/Floyd%20Cycle%20Detection%20Algorithm%20to%20Find%20Duplicate%20Number.md
94,PASS,0.071,data_structures,,Graph,graph.rs,
95,PASS,0.075,data_structures,,Hash Table,hash_table.rs,
96,PASS,0.076,data_structures,,Heap,heap.rs,
97,PASS,0.072,data_structures,,Lazy Segment Tree,lazy_segment_tree.rs,
98,PASS,0.073,data_structures,,Linked List,linked_list.rs,
99,PASS,0.073,data_structures,,Skip List,skip_list.rs,
100,PASS,0.070,data_structures/probabilistic,,Bloom Filter,bloom_filter.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Data%20Structures/Probablistic/BloomFilter.md
101,PASS,0.074,data_structures/probabilistic,,Count Min Sketch,count_min_sketch.rs,
102,PASS,0.072,data_structures,,Queue,queue.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Data%20Structures/Queues/queue.md
103,PASS,0.077,data_structures,,Range Minimum Query,range_minimum_query.rs,
104,PASS,0.075,data_structures,,RB Tree,rb_tree.rs,
105,PASS,0.072,data_structures,,Segment Tree,segment_tree.rs,
106,PASS,0.073,data_structures,,Segment Tree Recursive,segment_tree_recursive.rs,
107,PASS,0.075,data_structures,,Stack Using Singly Linked List,stack_using_singly_linked_list.rs,
108,PASS,0.074,data_structures,,Treap,treap.rs,
109,PASS,0.071,data_structures,,Trie,trie.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Data%20Structures/Tries/trie.md
110,PASS,0.084,data_structures,,Union Find,union_find.rs,
111,PASS,0.143,data_structures,,Veb Tree,veb_tree.rs,
112,PASS,0.073,dynamic_programming,string,Catalan Numbers,catalan_numbers.rs,
113,PASS,0.073,dynamic_programming,,Coin Change,coin_change.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Dynamic%20Programming/Coin%20Change.md
114,PASS,0.128,dynamic_programming,,Egg Dropping,egg_dropping.rs,
115,PASS,0.120,dynamic_programming,,Fibonacci,fibonacci.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Basic%20Math/Fibonacci_Numbers.md
116,PASS,0.075,dynamic_programming,,Fractional Knapsack,fractional_knapsack.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Greedy%20Algorithms/Fractional%20Knapsack.md
117,PASS,0.161,dynamic_programming,,Integer Partition,integer_partition.rs,
118,PASS,0.074,dynamic_programming,,Is Subsequence,is_subsequence.rs,
119,PASS,0.073,dynamic_programming,,Knapsack,knapsack.rs,
120,PASS,0.074,dynamic_programming,,Longest Common Subsequence,longest_common_subsequence.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Dynamic%20Programming/Longest%20Common%20Subsequence.md
121,PASS,0.077,dynamic_programming,,Longest Common Substring,longest_common_substring.rs,
122,PASS,0.069,dynamic_programming,,Longest Continuous Increasing Subsequence,longest_continuous_increasing_subsequence.rs,
123,PASS,0.099,dynamic_programming,,Longest Increasing Subsequence,longest_increasing_subsequence.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Dynamic%20Programming/Longest%20Increasing%20Subsequence.md
124,PASS,0.067,dynamic_programming,,Matrix Chain Multiply,matrix_chain_multiply.rs,
125,PASS,0.072,dynamic_programming,,Maximal Square,maximal_square.rs,
126,PASS,0.079,dynamic_programming,,Maximum Subarray,maximum_subarray.rs,
127,PASS,0.076,dynamic_programming,,Minimum Cost Path,minimum_cost_path.rs,
128,PASS,0.078,dynamic_programming,,Optimal BST,optimal_bst.rs,
129,PASS,0.076,dynamic_programming,,Palindrome Partitioning,palindrome_partitioning.rs,
130,PASS,0.090,dynamic_programming,,Rod Cutting,rod_cutting.rs,
131,PASS,0.080,dynamic_programming,,Smith-Waterman,smith_waterman.rs,
132,PASS,0.072,dynamic_programming,,Snail,snail.rs,
133,PASS,0.074,dynamic_programming,,Subset Generation,subset_generation.rs,
134,PASS,0.073,dynamic_programming,,Subset Sum,subset_sum.rs,
135,PASS,0.072,dynamic_programming,,Task Assignment,task_assignment.rs,
136,PASS,0.076,dynamic_programming,,Trapped Rainwater,trapped_rainwater.rs,
137,PASS,0.901,dynamic_programming,,Word Break,word_break.rs,
138,PASS,0.079,financial,,Depreciation,depreciation.rs,
139,PASS,0.071,financial,,Equated Monthly Installments,equated_monthly_installments.rs,
140,PASS,0.071,financial,,Exponential Moving Average,exponential_moving_average.rs,
141,PASS,0.074,financial,,Finance Ratios,finance_ratios.rs,
142,PASS,0.075,financial,math,Interest,interest.rs,
143,PASS,0.073,financial,,Net Present Value,npv.rs,
144,PASS,0.069,financial,,NPV Sensitivity,npv_sensitivity.rs,
145,PASS,0.067,financial,,Payback Period,payback.rs,
146,PASS,0.074,financial,,Present Value,present_value.rs,
147,PASS,0.073,financial,,Treynor Ratio,treynor_ratio.rs,
148,PASS,0.073,general,,Convex Hull,convex_hull.rs,
149,PASS,0.070,general,,Fisher Yates Shuffle,fisher_yates_shuffle.rs,
150,PASS,0.074,general,,Genetic,genetic.rs,
151,PASS,0.075,general,,Hanoi,hanoi.rs,
152,PASS,0.072,general,,Huffman Encoding,huffman_encoding.rs,
153,PASS,0.070,general,dynamic_programming,Kadane Algorithm,kadane_algorithm.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Dynamic%20Programming/Kadane's%20Algorithm.md
154,PASS,0.072,general,,K-Means,kmeans.rs,
155,PASS,0.073,general,,Mex,mex.rs,
156,PASS,0.072,general/permutations,,Heap,heap.rs,
157,PASS,0.068,general/permutations,,Naive,naive.rs,
158,PASS,0.067,general/permutations,,Steinhaus Johnson Trotter,steinhaus_johnson_trotter.rs,
159,PASS,0.075,general,,Subarray Sum Equals K,subarray_sum_equals_k.rs,
160,PASS,0.072,general,,Two Sum,two_sum.rs,
161,PASS,0.068,geometry,,Closest Points,closest_points.rs,
162,PASS,0.072,geometry,,Graham Scan,graham_scan.rs,
163,PASS,0.073,geometry,,Jarvis Scan,jarvis_scan.rs,
164,PASS,0.072,geometry,,Point,point.rs,
165,PASS,0.073,geometry,,Polygon Points,polygon_points.rs,
166,PASS,0.074,geometry,,Ramer Douglas Peucker,ramer_douglas_peucker.rs,
167,PASS,0.075,geometry,,Segment,segment.rs,
168,PASS,0.172,graph,,A*,astar.rs,
169,PASS,0.159,graph,,Ant Colony Optimization,ant_colony_optimization.rs,
170,PASS,0.111,graph,,Bellman-Ford,bellman_ford.rs,https://github.com/TheAlgorithms/Algorithms-Explanation/blob/master/en/Data%20Structures/Graph/Bellman-Ford.md
171,PASS,0.076,graph,,Bipartite Matching,bipartite_matching.rs,
172,PASS,0.073,graph,,Breadth First Search,breadth_first_search.rs,
173,PASS,0.074,graph,,Centroid Decomposition,centroid_decomposition.rs,
174,PASS,0.075,graph,,Decremental Connectivity,decremental_connectivity.rs,
175,PASS,0.074,graph,,Depth First Search,depth_first_search.rs,
176,PASS,0.074,graph,,Depth First Search Tic-Tac-Toe,depth_first_search_tic_tac_toe.rs,
177,PASS,0.071,graph,,Detect Cycle,detect_cycle.rs,
178,PASS,0.075,graph,,Dijkstra,dijkstra.rs,
179,PASS,0.071,graph,,Dinic Maxflow,dinic_maxflow.rs,
180,PASS,0.074,graph,,Disjoint Set Union,disjoint_set_union.rs,
181,PASS,0.071,graph,,Eulerian Path,eulerian_path.rs,
182,PASS,0.071,graph,,Floyd Warshall,floyd_warshall.rs,
183,PASS,0.074,graph,,Ford Fulkerson,ford_fulkerson.rs,
184,PASS,0.074,graph,,Graph Enumeration,graph_enumeration.rs,
185,PASS,0.073,graph,,Heavy Light Decomposition,heavy_light_decomposition.rs,
186,PASS,0.071,graph,,Kosaraju,kosaraju.rs,
187,PASS,0.075,graph,,Lee Breadth First Search,lee_breadth_first_search.rs,
188,PASS,0.081,graph,,Lowest Common Ancestor,lowest_common_ancestor.rs,
189,PASS,0.078,graph,,Minimum Spanning Tree,minimum_spanning_tree.rs,
190,PASS,0.094,graph,,Prim,prim.rs,
191,PASS,0.154,graph,,Prufer Code,prufer_code.rs,
192,PASS,0.131,graph,,Strongly Connected Components,strongly_connected_components.rs,
193,PASS,0.085,graph,,Tarjans Strongly Connected Components,tarjans_ssc.rs,
194,PASS,0.077,graph,,Topological Sort,topological_sort.rs,
